Company,Company Path,Industry,Country,employees,marketcap,revenue,earnings,operating-margin,total-assets,total-liabilities,total-debt,net-assets,pe-ratio,ps-ratio
Albertsons,https://companiesmarketcap.com/albertsons,Retail,USA,107300,11740000000.0,79160000000.0,1620000000.0,0.022799999999999997,26490000000.0,23960000000.0,14720000000.0,2520000000.0,8.4,0.1504
H&M,https://companiesmarketcap.com/h-m,Retail,Sweden,101103,24280000000.0,22170000000.0,1330000000.0,0.0252,17310000000.0,12890000000.0,6870000000.0,4410000000.0,43.1,1.12
Ross Stores,https://companiesmarketcap.com/ross-stores,Retail,USA,101000,45590000000.0,20370000000.0,2540000000.0,0.1063,14270000000.0,9680000000.0,5770000000.0,4580000000.0,29.5,2.3
Metro,https://companiesmarketcap.com/metro,Retail,Canada,97000,11650000000.0,15710000000.0,980000000.0,0.062400000000000004,10640000000.0,5470000000.0,3390000000.0,5170000000.0,16.9,0.7467
Kohl's,https://companiesmarketcap.com/kohls,Retail,USA,97000,2520000000.0,17470000000.0,710000000.0,-0.0032,14000000000.0,10110000000.0,7370000000.0,3890000000.0,-23.2,0.1503
Gap Inc.,https://companiesmarketcap.com/gap-inc,Retail,USA,95000,8400000000.0,14880000000.0,550000000.0,0.0036,11040000000.0,8439999999.999999,5440000000.0,2590000000.0,80.7,0.5868
Macy's,https://companiesmarketcap.com/macys,Retail,USA,94570,5290000000.0,23860000000.0,120000000.0,0.0536,18110000000.0,13960000000.0,6190000000.0,4139999999.9999995,7.22,0.229
Pick n Pay Stores,https://companiesmarketcap.com/pick-n-pay,Retail,South Africa,90000,740000000.0,5790000000.0,92900000.0,,2500000000.0,2370000000.0,1460000000.0,130000000.0,14.8,0.3229
Metro AG,https://companiesmarketcap.com/metro-ag,Retail,Germany,86910,2009999999.9999998,32850000000.0,860000000.0,0.0177,12300000000.0,10170000000.0,3870000000.0,2130000000.0,2.94,0.0601
Alfamart,https://companiesmarketcap.com/alfamart,Retail,Indonesia,85954,7550000000.0,7020000000.0,290000000.0,0.041299999999999996,2130000000.0,1230000000.0,120000000.0,900000000.0,35.4,1.07
BİM Birleşik Mağazalar,https://companiesmarketcap.com/bim-magazalar,Retail,Turkey,84319,7350000000.0,10040000000.0,560000000.0,0.0518,3610000000.0,2520000000.0,690000000.0,1090000000.0,16.2,0.7336
7-Eleven,https://companiesmarketcap.com/7-eleven,Retail,Japan,84154,34110000000.0,81330000000.0,2000000000.0,0.031,75440000000.0,47990000000.0,27800000000.0,27450000000.0,6.32,0.4311
Falabella,https://companiesmarketcap.com/falabella,Retail,Chile,81679,6400000000.0,13300000000.0,620000000.0,0.0181,27340000000.0,18790000000.0,3440000000.0,8550000000.000001,-167.0,0.5023
Kingfisher,https://companiesmarketcap.com/kingfisher,Retail,UK,77701,5810000000.0,16129999999.999998,910000000.0,,15660000000.0,7190000000.0,3240000000.0,8460000000.000001,11.9,0.4044
JD Sports Fashion,https://companiesmarketcap.com/jd-sports,Retail,UK,75149,7650000000.0,12500000000.0,540000000.0,,10170000000.0,6950000000.0,3060000000.0,3210000000.0,59.7,0.8182
Grupo Elektra,https://companiesmarketcap.com/grupo-elektra,Retail,Mexico,71581,15390000000.0,9990000000.0,850000000.0,,25040000000.0,19710000000.0,3200000000.0,5330000000.0,41.9,1.55
AutoZone,https://companiesmarketcap.com/autozone,Retail,USA,71400,51250000000.0,17830000000.0,3290000000.0,0.1789,16710000000.0,21550000000.0,11820000000.0,-4840000000.0,20.9,2.92
Assaí Atacadista,https://companiesmarketcap.com/assai-atacadista,Retail,Brazil,70000,3750000000.0,12640000000.0,590000000.0,0.0547,8189999999.999999,7340000000.0,4560000000.0,850000000.0,23.6,0.2991
Dollar Tree,https://companiesmarketcap.com/dollar-tree,Retail,USA,65025,27280000000.0,30600000000.0,-890000000.0,0.0669,22020000000.0,14710000000.0,10380000000.0,7310000000.0,23.6,0.9277
Marks & Spencer,https://companiesmarketcap.com/marks-and-spencer,Retail,UK,64000,6480000000.0,14770000000.0,580000000.0,,10690000000.0,7220000000.0,4010000000.0,3470000000.0,9.5,0.2713
Coupang,https://companiesmarketcap.com/coupang,Retail,South Korea,63000,37890000000.0,24380000000.0,630000000.0,0.0236,13340000000.0,9250000000.0,2780000000.0,4080000000.0,79.4,1.4
Nordstrom,https://companiesmarketcap.com/nordstrom,Retail,USA,60000,3110000000.0,14690000000.0,280000000.0,0.0216,8439999999.999999,7590000000.0,4470000000.0,840000000.0,99.0,0.22
Fast Retailing,https://companiesmarketcap.com/fast-retailing,Retail,Japan,59871,84370000000.0,20120000000.0,3320000000.0,0.158,23360000000.0,10190000000.0,3170000000.0,13160000000.0,44.6,4.39
RaiaDrogasil,https://companiesmarketcap.com/raiadrogasil,Retail,Brazil,57295,8820000000.0,6850000000.0,380000000.0,0.047599999999999996,4139999999.9999995,2890000000.0,1450000000.0,1240000000.0,41.1,1.29
Best Buy,https://companiesmarketcap.com/best-buy,Retail,USA,52200,16790000000.0,43450000000.0,1620000000.0,0.036699999999999997,14960000000.0,11910000000.0,3980000000.0,3050000000.0,13.7,0.3966
Migros Ticaret A.S.,https://companiesmarketcap.com/migros-ticaret,Retail,Turkey,51275,2480000000.0,6950000000.0,390000000.0,0.0345,2029999999.9999998,1730000000.0,350000000.0,290000000.0,11.1,0.3572
Tractor Supply,https://companiesmarketcap.com/tractor-supply,Retail,USA,50000,26430000000.0,14550000000.0,1430000000.0,0.0967,9180000000.0,7030000000.0,5030000000.0,2140000000.0000002,24.3,1.86
Pepco Group,https://companiesmarketcap.com/pepco-group,Retail,UK,47487,2730000000.0,4530000000.0,190000000.0,,4850000000.0,3620000000.0,2130000000.0,1220000000.0,25.4,0.4477
Via S.A.,https://companiesmarketcap.com/via-sa,Retail,Brazil,46073,360000000.0,5950000000.0,-66300000.0,0.008199999999999999,6390000000.0,5510000000.0,2430000000.0,870000000.0,-1.07,0.0608
Ceconomy,https://companiesmarketcap.com/ceconomy,Retail,,42863,1090000000.0,24070000000.0,130000000.0,,13550000000.0,12900000000.0,2810000000.0,640000000.0,,0.0472
Magazine Luíza,https://companiesmarketcap.com/magazine-luiza,Retail,Brazil,40000,2370000000.0,7420000000.0,-460000000.0,-0.0408,7720000000.0,5740000000.0,2250000000.0,1980000000.0,-13.2,0.3359
B&M European Value Retail,https://companiesmarketcap.com/bm-european-value-retail,Retail,Luxembourg,39484,6250000000.0,6170000000.0,540000000.0,,4440000000.0,3550000000.0,2790000000.0,890000000.0,13.9,0.9573
Dino Polska,https://companiesmarketcap.com/dino-polska,Retail,Poland,37386,8890000000.0,6170000000.0,410000000.0,0.0698,2640000000.0,1210000000.0,290000000.0,1420000000.0,31.3,1.5
lululemon athletica,https://companiesmarketcap.com/lululemon-athletica,Retail,Canada,34000,42350000000.0,9610000000.0,2200000000.0,0.1643,7090000000.0,2850000000.0,1400000000.0,4230000000.0000005,44.2,4.58
BJ's Wholesale Club,https://companiesmarketcap.com/bjs-wholesale-club,Retail,USA,34000,10240000000.0,19960000000.0,790000000.0,0.039599999999999996,6670000000.0,5210000000.0,2980000000.0,1450000000.0,20.6,0.5223
Zhongsheng Group,https://companiesmarketcap.com/zhongsheng-group,Retail,China,32943,4170000000.0,26070000000.0,1470000000.0,,13640000000.0,7580000000.0,4700000000.0,6060000000.0,12.8,0.475
Next plc,https://companiesmarketcap.com/next-plc,Retail,UK,32324,14310000000.0,6210000000.0,1070000000.0000001,,5990000000.0,3910000000.0,2430000000.0,2080000000.0,13.8,1.69
Frasers Group,https://companiesmarketcap.com/frasers-group,Retail,UK,32000,4460000000.0,6980000000.0,820000000.0,,5640000000.0,3530000000.0,1880000000.0,2109999999.9999998,13.4,0.6336
Colruyt,https://companiesmarketcap.com/colruyt,Retail,Belgium,32000,5360000000.0,10340000000.0,570000000.0,0.0381,7060000000.0,3670000000.0,1150000000.0,3390000000.0,17.6,0.3633
Sprouts Farmers Market,https://companiesmarketcap.com/sprouts-farmers-market,Retail,USA,31000,6300000000.0,6830000000.0,350000000.0,0.0524,3320000000.0,2170000000.0,1660000000.0,1140000000.0,26.3,0.9533
Victoria's Secret & Co,https://companiesmarketcap.com/victorias-secret-co,Retail,USA,30000,1390000000.0,6180000000.0,140000000.0,0.06570000000000001,4680000000.0,4440000000.0,3100000000.0,230000000.0,7.7,0.237
Big Lots,https://companiesmarketcap.com/big-lots,Retail,USA,30000,100000000.0,4830000000.0,-380000000.0,0.037599999999999995,3620000000.0,3310000000.0,2440000000.0,310000000.0,-0.1858,0.0221
(DIA) Distribuidora Internacional de Alimentación,https://companiesmarketcap.com/dia,Retail,Spain,29959,770000000.0,7820000000.0,-110000000.0,-0.0365,2900000000.0,2980000000.0,1060000000.0,-75330000.0,-0.4383,0.1002
Signet Jewelers,https://companiesmarketcap.com/signet-jewelers,Retail,Bermuda,29660,4260000000.0,7170000000.0,630000000.0,0.0908,6810000000.0,3990000000.0,1240000000.0,2820000000.0,9.98,0.6181
Petco,https://companiesmarketcap.com/petco,Retail,USA,29000,460000000.0,6150000000.0,-1100000000.0,0.0318,5420000000.0,4230000000.0000005,3030000000.0,1190000000.0,14.3,0.0812
Chow Tai Fook,https://companiesmarketcap.com/chow-tai-fook,Retail,Hong Kong,28900,14470000000.0,12060000000.0,1020000000.0,0.0942,10850000000.0,7380000000.0,3520000000.0,3470000000.0,21.8,1.65
Greggs,https://companiesmarketcap.com/greggs,Retail,UK,28493,3480000000.0,1830000000.0,170000000.0,,1260000000.0,670000000.0,380000000.0,580000000.0,21.4,1.58
Penske Automotive,https://companiesmarketcap.com/penske-automotive,Retail,USA,28000,10050000000.0,29520000000.0,1410000000.0,0.057999999999999996,15670000000.0,10910000000.0,7730000000.0,4750000000.0,8.93,0.3415
Lojas Renner,https://companiesmarketcap.com/lojas-renner,Retail,Brazil,26233,2990000000.0,2760000000.0,250000000.0,0.1059,4219999999.9999995,2150000000.0,960000000.0,2069999999.9999998,16.2,1.14
Casino Guichard-Perrachon,https://companiesmarketcap.com/casino-guichard-perrachon,Retail,France,25999,1300000000.0,10000000000.0,-2000000000.0,-0.0089,20280000000.0,22240000000.0,10100000000.0,-1970000000.0,-4.36,0.0094
Hornbach Holding,https://companiesmarketcap.com/hornbach,Retail,Germany,25205,1280000000.0,6680000000.0,140000000.0,0.0405,4830000000.0,2650000000.0,1850000000.0,2180000000.0,11.9,0.1943
Office Depot,https://companiesmarketcap.com/office-depot,Retail,USA,25000,1840000000.0,7830000000.0,220000000.0,0.027200000000000002,3880000000.0,2780000000.0,960000000.0,1100000000.0,11.5,0.2382
Qurate Retail Group,https://companiesmarketcap.com/qurate-retail,Retail,USA,24683,420000000.0,10910000000.0,510000000.0,-0.1585,11360000000.0,10870000000.0,5950000000.0,480000000.0,-0.1425,0.0384
Fielmann,https://companiesmarketcap.com/fielmann,Retail,Germany,23870,3770000000.0,2080000000.0,220000000.0,0.09820000000000001,1980000000.0,980000000.0,500000000.0,1000000000.0,30.4,1.81
Hornbach Baumarkt,https://companiesmarketcap.com/hornbach-baumarkt,Retail,Germany,23114,1680000000.0,6410000000.0,280000000.0,0.043,4740000000.0,3100000000.0,2080000000.0,1630000000.0,7.48,0.2662
Weis Markets,https://companiesmarketcap.com/weis-markets,Retail,USA,23000,1650000000.0,4690000000.0,140000000.0,0.032400000000000005,2029999999.9999998,660000000.0,180000000.0,1370000000.0,14.2,0.3559
Fnac Darty,https://companiesmarketcap.com/fnac-darty,Retail,France,22182,850000000.0,8700000000.0,21440000.0,0.033,7750000000.0,6050000000.0,2280000000.0,1700000000.0,-27.0,0.0954
Academy Sports,https://companiesmarketcap.com/academy-sports,Retail,USA,22000,4390000000.0,6150000000.0,700000000.0,0.1249,4670000000.0,2720000000.0,1690000000.0,1950000000.0,8.54,0.7202
Savers Value Village,https://companiesmarketcap.com/savers-value-village,Retail,USA,22000,2690000000.0,1500000000.0,140000000.0,0.11699999999999999,1860000000.0,1490000000.0,1280000000.0,370000000.0,39.0,1.88
Lithia Motors,https://companiesmarketcap.com/lithia-motors,Retail,USA,21875,7280000000.0,31030000000.0,1360000000.0,0.051500000000000004,19630000000.0,13340000000.0,11320000000.0,6280000000.0,7.07,0.2363
Future Retail,https://companiesmarketcap.com/future-retail,Retail,India,21839,17200000.0,1140000000.0,-400000000.0,-0.3442,2380000000.0,2540000000.0,1860000000.0,-170000000.0,-0.0273,0.0151
Mr Price Group,https://companiesmarketcap.com/mr-price-group,Retail,South Africa,20443,2210000000.0,1800000000.0,240000000.0,,1540000000.0,800000000.0,470000000.0,740000000.0,12.7,1.21
Inchcape,https://companiesmarketcap.com/inchcape,Retail,UK,20000,3580000000.0,9850000000.0,460000000.0,,8390000000.000001,6480000000.0,2029999999.9999998,1900000000.0,-296.0,0.3774
Dis-Chem Pharmacies,https://companiesmarketcap.com/dis-chem-pharmacies,Retail,South Africa,20000,1450000000.0,1770000000.0,77070000.0,,880000000.0,660000000.0,260000000.0,220000000.0,28.5,0.7245
Travis Perkins,https://companiesmarketcap.com/travis-perkins,Retail,UK,19956,1960000000.0,6050000000.0,290000000.0,,5120000000.0,2520000000.0,1340000000.0,2590000000.0,10.6,0.3782
Ocado,https://companiesmarketcap.com/ocado,Retail,UK,19744,3630000000.0,3580000000.0,-390000000.0,,5620000000.0,3700000000.0,2480000000.0,1910000000.0,-11.0,1.74
FirstCash,https://companiesmarketcap.com/firstcash,Retail,USA,19000,5950000000.0,3150000000.0,380000000.0,0.1185,4280000000.0000005,2290000000.0,1920000000.0,1990000000.0,26.2,1.88
Nitori Holdings,https://companiesmarketcap.com/nitori-holdings,Retail,Japan,18909,17280000000.0,6090000000.0,890000000.0,0.15259999999999999,8480000000.0,2230000000.0,1120000000.0,6250000000.0,26.7,2.86
ULTA Beauty,https://companiesmarketcap.com/ulta-beauty,Retail,USA,18500,21350000000.0,11200000000.0,1690000000.0,0.1577,5590000000.0,3560000000.0,2089999999.9999998,2020000000.0,17.9,1.93
Clicks Group,https://companiesmarketcap.com/clicks-group,Retail,South Africa,18447,3630000000.0,2220000000.0,180000000.0,,1010000000.0,690000000.0,170000000.0,310000000.0,25.2,1.61
UnitedHealth,https://companiesmarketcap.com/united-health,Insurance,USA,400000,407230000000.0,371620000000.0,29110000000.0,0.0802,273720000000.00003,174800000000.0,62530000000.0,98910000000.0,18.9,1.1
Ping An Insurance,https://companiesmarketcap.com/ping-an-insurance,Insurance,China,344223,85310000000.0,113290000000.0,17020000000.0,0.1649,1638000000000.0,1464000000000.0,210520000000.0,173860000000.0,6.7,0.7838
The People's Insurance Company (PICC),https://companiesmarketcap.com/peoples-insurance-company-picc,Insurance,China,177852,27530000000.0,80560000000.0,2860000000.0,0.0669,210330000000.0,164860000000.0,5610000000.0,45460000000.0,9.49,0.3306
Allianz,https://companiesmarketcap.com/allianz,Insurance,Germany,159253,109130000000.0,104290000000.0,13050000000.0,0.1127,1086000000000.0001,1016000000000.0,38320000000.0,70290000000.0,12.0,1.05
China Pacific Insurance,https://companiesmarketcap.com/china-pacific-insurance,Insurance,China,104502,26970000000.0,45820000000.0,43810000000.0,0.3272,315670000000.0,281560000000.0,1730000000.0,34110000000.0,7.77,0.5886
Life Insurance Corporation of India (LIC),https://companiesmarketcap.com/life-insurance-corporation-of-india,Insurance,India,104036,73550000000.0,99330000000.0,4910000000.0,0.0572,593060000000.0,585570000000.0,160000.0,7480000000.0,13.5,0.7469
Elevance Health,https://companiesmarketcap.com/elevance-health,Insurance,USA,102300,115720000000.0,171340000000.0,8740000000.0,0.0562,108920000000.0,69520000000.0,25120000000.0,39400000000.0,19.5,0.6815
China Life Insurance,https://companiesmarketcap.com/china-life-insurance,Insurance,China,102238,84770000000.0,117860000000.0,1790000000.0,0.0482,803970000000.0,740950000000.0,6820000000.0,63020000000.0,13.5,0.7443
AXA,https://companiesmarketcap.com/axa,Insurance,France,94705,80660000000.0,134680000000.0,7360000000.0,0.0935,690740000000.0,637680000000.0,75460000000.0,53050000000.0,,0.6002
Marsh & McLennan Companies,https://companiesmarketcap.com/marsh-and-mclennan-companies,Insurance,USA,85000,97750000000.0,22730000000.0,5020000000.0,0.20350000000000001,48030000000.0,35660000000.0,15430000000.0,12370000000.0,28.4,4.32
Generali,https://companiesmarketcap.com/generali,Insurance,Italy,82061,37350000000.0,86320000000.0,4540000000.0,0.0652,555580000000.0,524110000000.0,18040000000.0,31470000000.0,,0.4343
Centene,https://companiesmarketcap.com/centene,Insurance,USA,74300,37830000000.0,153990000000.0,4320000000.0,0.0308,84640000000.0,58680000000.0,18870000000.0,25950000000.0,16.0,0.2488
Cigna,https://companiesmarketcap.com/cigna,Insurance,USA,71300,99230000000.0,195180000000.0,6950000000.0,0.0518,152760000000.0,106410000000.0,30930000000.0,46350000000.0,19.8,0.5131
China Taiping Insurance,https://companiesmarketcap.com/china-taiping-insurance,Insurance,Hong Kong,68386,3020000000.0,38560000000.0,190000000.0,0.005,181530000000.0,165720000000.0,12010000000.0,15800000000.0,12.5,0.1162
Humana,https://companiesmarketcap.com/humana,Insurance,USA,67100,37680000000.0,106370000000.0,3870000000.0,0.0458,47060000000.0,30740000000.0,12000000000.0,16309999999.999998,13.1,0.3584
Dai-ichi Life Holdings,https://companiesmarketcap.com/dai-ichi-life,Insurance,Japan,60997,22520000000.0,64459999999.99999,2870000000.0,0.0325,466700000000.0,445550000000.0,6990000000.0,21140000000.0,19.2,0.3477
Zurich Insurance Group,https://companiesmarketcap.com/zurich-insurance-group,Insurance,Switzerland,60000,71100000000.0,67330000000.0,6220000000.0,,361380000000.0,335100000000.0,15450000000.0,26270000000.0,,1.1
Cathay Financial Holding,https://companiesmarketcap.com/cathay-financial-holding,Insurance,Taiwan,56031,22280000000.0,8780000000.0,1840000000.0,0.059000000000000004,417540000000.0,391420000000.0,9300000000.0,26120000000.0,41.6,2.58
Progressive,https://companiesmarketcap.com/progressive,Insurance,USA,55100,119420000000.0,62080000000.0,5170000000.0,0.0431,88690000000.0,68410000000.0,6880000000.0,20270000000.0,43.8,1.91
Allstate,https://companiesmarketcap.com/allstate,Insurance,USA,54000,43990000000.0,57090000000.0,31000000.0,-0.0575,103360000000.0,85730000000.0,7940000000.0,17630000000.0,-20.9,0.7651
Aon,https://companiesmarketcap.com/aon,Insurance,UK,50000,61070000000.0,13370000000.0,3650000000.0,0.2529,33950000000.000004,34700000000.0,12030000000.0,-750000000.0,23.5,4.61
Sompo Holdings,https://companiesmarketcap.com/sompo-holdings,Insurance,Japan,48956,20550000000.0,32720000000.0,3480000000.0,0.07690000000000001,102330000000.0,84030000000.0,4870000000.0,18300000000.0,5.42,0.6356
Fairfax Financial,https://companiesmarketcap.com/fairfax-financial,Insurance,Canada,47040,25650000000.0,25800000000.0,5900000000.0,,91980000000.0,64280000000.0,10790000000.0,27700000000.0,5.1,1.0
Arthur J. Gallagher & Co.,https://companiesmarketcap.com/arthur-gallagher,Insurance,USA,46758,51200000000.0,10070000000.0,1480000000.0,0.1551,51610000000.0,40800000000.0,8310000000.000001,10810000000.0,44.8,5.16
Willis Towers Watson,https://companiesmarketcap.com/willis-wowers-watson,Insurance,UK,46000,26610000000.0,9480000000.0,1510000000.0,0.1671,29090000000.0,19490000000.0,5940000000.0,9590000000.0,27.4,2.81
MetLife,https://companiesmarketcap.com/metlife,Insurance,USA,45000,50710000000.0,66519999999.99999,3200000000.0,0.0542,687580000000.0,657330000000.0,18820000000.0,30250000000.0,25.8,0.7715
Tokio Marine,https://companiesmarketcap.com/tokio-marine,Insurance,Japan,43217,61700000000.0,48080000000.0,5260000000.0,0.0809,212350000000.0,180880000000.0,1600000000.0,31460000000.0,22.4,1.28
Munich RE (Münchener Rück),https://companiesmarketcap.com/munich-re,Insurance,Germany,42562,59560000000.0,66910000000.0,6170000000.0,0.077,279660000000.0,250450000000.0,5030000000.0,29200000000.0,12.8,0.8981
Manulife Financial,https://companiesmarketcap.com/manulife-financial,Insurance,Canada,40000,42800000000.0,31580000000.0,4820000000.0,0.1319,661350000000.0,624540000000.0,9620000000.0,36800000000.0,11.2,1.37
Chubb,https://companiesmarketcap.com/chubb,Insurance,Switzerland,40000,99790000000.0,49820000000.0,9520000000.0,0.1422,230680000000.0,166990000000.0,14490000000.0,63690000000.0,14.3,1.99
Prudential Financial,https://companiesmarketcap.com/prudential-financial,Insurance,USA,39583,39420000000.0,54520000000.0,3070000000.0,-0.0358,721120000000.0,691330000000.0,20870000000.0,29780000000.0,38.0,0.7339
MS&AD Insurance,https://companiesmarketcap.com/ms-ad-insurance,Insurance,Japan,38584,28690000000.0,44750000000.0,3450000000.0,0.054299999999999994,183340000000.0,155580000000.0,5070000000.0,27750000000.0,6.53,0.6415
Powszechny Zakład Ubezpieczeń,https://companiesmarketcap.com/pzu,Insurance,Poland,38279,10410000000.0,13040000000.0,3490000000.0,0.20929999999999999,106710000000.0,93650000000.0,5610000000.0,13050000000.0,10.2,0.8321
